,config,n_vars,n_clauses,n_groups,n_Avars,arjun_time,benchmark,network_type,encoding,configuration,timeout,memory_limit,k,encoding_t/o,building_successful,encoding_successful,n_nodes,n_edges,utime,stime,wtime,max_res_set_size,exit_status,signal,optimised_value,encoding_m/o
243,config-0,18235.0,225471.0,2970.0,12295.0,731.72,socfb-Wellesley22.mtx,social,gis,,7200,4000000,6,False,True,True,2970.0,94899.0,750.26,1.68,12:37,165208,0,,5938,False
293,config-0,20333.0,230911.0,2970.0,14393.0,600.79,socfb-Wellesley22.mtx,social,gis,,7200,4000000,8,False,True,True,2970.0,94899.0,619.34,1.42,10:24,164296,0,,5940,False
343,config-0,22825.0,236169.0,2970.0,16885.0,524.96,socfb-Wellesley22.mtx,social,gis,,7200,4000000,10,False,True,True,2970.0,94899.0,543.38,1.42,9:08,163340,0,,5940,False
393,config-0,24899.0,239994.0,2970.0,18959.0,496.94,socfb-Wellesley22.mtx,social,gis,,7200,4000000,12,False,True,True,2970.0,94899.0,515.07,1.27,8:39,162928,0,,5940,False
443,config-0,29481.0,247504.0,2970.0,23541.0,422.12,socfb-Wellesley22.mtx,social,gis,,7200,4000000,16,False,True,True,2970.0,94899.0,439.93,1.05,7:23,165980,0,,5940,False
30,config-0,5716.0,237442.0,2790.0,136.0,628.09,socfb-Williams40.mtx,social,gis,,7200,4000000,1,False,True,True,2790.0,112986.0,652.08,1.36,10:57,301072,0,,1056,False
80,config-0,11163.0,246428.0,2790.0,5583.0,2073.39,socfb-Williams40.mtx,social,gis,,7200,4000000,2,False,True,True,2790.0,112986.0,2100.68,2.61,35:16,211228,0,,4126,False
130,config-0,12096.0,250147.0,2790.0,6516.0,1435.65,socfb-Williams40.mtx,social,gis,,7200,4000000,3,False,True,True,2790.0,112986.0,1463.13,2.3,24:33,182688,0,,5156,False
180,config-0,13147.0,253859.0,2790.0,7567.0,1032.26,socfb-Williams40.mtx,social,gis,,7200,4000000,4,False,True,True,2790.0,112986.0,1057.39,4.7,17:50,176456,0,,5474,False
230,config-0,17147.0,259485.0,2790.0,11567.0,722.75,socfb-Williams40.mtx,social,gis,,7200,4000000,6,False,True,True,2790.0,112986.0,749.04,1.82,12:35,175376,0,,5578,False
280,config-0,19123.0,264603.0,2790.0,13543.0,632.67,socfb-Williams40.mtx,social,gis,,7200,4000000,8,False,True,True,2790.0,112986.0,658.73,1.65,11:04,178488,0,,5580,False
330,config-0,21487.0,269521.0,2790.0,15907.0,577.40,socfb-Williams40.mtx,social,gis,,7200,4000000,10,False,True,True,2790.0,112986.0,604.0,1.68,10:09,177260,0,,5580,False
380,config-0,23209.0,273166.0,2790.0,17629.0,574.90,socfb-Williams40.mtx,social,gis,,7200,4000000,12,False,True,True,2790.0,112986.0,601.78,1.62,10:07,178996,0,,5580,False
430,config-0,27709.0,280182.0,2790.0,22129.0,469.40,socfb-Williams40.mtx,social,gis,,7200,4000000,16,False,True,True,2790.0,112986.0,495.99,1.46,8:20,183896,0,,5580,False
35,config-0,5914.0,17828.0,2888.0,138.0,5.28,socfb-nips-ego.edges,social,gis,,7200,4000000,1,False,True,True,2888.0,2981.0,5.92,0.25,0:06,73508,0,,5726,False
85,config-0,11557.0,27138.0,2888.0,5781.0,8.78,socfb-nips-ego.edges,social,gis,,7200,4000000,2,False,True,True,2888.0,2981.0,11.97,0.23,0:12,75392,0,,5760,False
135,config-0,12524.0,30989.0,2888.0,6748.0,7.71,socfb-nips-ego.edges,social,gis,,7200,4000000,3,False,True,True,2888.0,2981.0,10.96,0.24,0:11,80372,0,,5756,False
185,config-0,13607.0,34831.0,2888.0,7831.0,9.70,socfb-nips-ego.edges,social,gis,,7200,4000000,4,False,True,True,2888.0,2981.0,12.96,0.25,0:13,77352,0,,5756,False
235,config-0,17803.0,40603.0,2888.0,12027.0,8.98,socfb-nips-ego.edges,social,gis,,7200,4000000,6,False,True,True,2888.0,2981.0,11.87,0.24,0:12,79184,0,,5756,False
285,config-0,19843.0,45877.0,2888.0,14067.0,12.44,socfb-nips-ego.edges,social,gis,,7200,4000000,8,False,True,True,2888.0,2981.0,15.79,2.4,0:19,69044,0,,5756,False
335,config-0,22191.0,51053.0,2888.0,16415.0,19.36,socfb-nips-ego.edges,social,gis,,7200,4000000,10,False,True,True,2888.0,2981.0,22.67,0.38,0:23,70544,0,,5756,False
385,config-0,24169.0,54798.0,2888.0,18393.0,24.10,socfb-nips-ego.edges,social,gis,,7200,4000000,12,False,True,True,2888.0,2981.0,27.29,0.41,0:28,83024,0,,5756,False
435,config-0,28847.0,62146.0,2888.0,23071.0,28.93,socfb-nips-ego.edges,social,gis,,7200,4000000,16,False,True,True,2888.0,2981.0,32.33,0.42,0:33,72916,0,,5756,False
17,config-0,8707.0,35292.0,4271.0,165.0,22.80,web-EPA.edges,webgraph,gis,,7200,4000000,1,False,True,True,4271.0,8909.0,23.53,0.42,0:24,81444,0,,5936,False
67,config-0,17128.0,49162.0,4271.0,8586.0,52.76,web-EPA.edges,webgraph,gis,,7200,4000000,2,False,True,True,4271.0,8909.0,54.8,0.51,0:55,75908,0,,6946,False
117,config-0,18582.0,54883.0,4271.0,10040.0,82.88,web-EPA.edges,webgraph,gis,,7200,4000000,3,False,True,True,4271.0,8909.0,84.94,0.55,1:26,85240,0,,7614,False
167,config-0,20241.0,60556.0,4271.0,11699.0,106.35,web-EPA.edges,webgraph,gis,,7200,4000000,4,False,True,True,4271.0,8909.0,108.46,0.6,1:50,116300,0,,7902,False
217,config-0,26364.0,69133.0,4271.0,17822.0,135.15,web-EPA.edges,webgraph,gis,,7200,4000000,6,False,True,True,4271.0,8909.0,137.06,2.67,2:22,99212,0,,8204,False
267,config-0,29428.0,76910.0,4271.0,20886.0,124.36,web-EPA.edges,webgraph,gis,,7200,4000000,8,False,True,True,4271.0,8909.0,126.41,0.66,2:08,90748,0,,8346,False
317,config-0,32658.0,84557.0,4271.0,24116.0,102.03,web-EPA.edges,webgraph,gis,,7200,4000000,10,False,True,True,4271.0,8909.0,104.15,0.63,1:45,75740,0,,8386,False
367,config-0,35968.0,90140.0,4271.0,27426.0,100.16,web-EPA.edges,webgraph,gis,,7200,4000000,12,False,True,True,4271.0,8909.0,102.3,0.64,1:43,77212,0,,8408,False
417,config-0,42922.0,101125.0,4271.0,34380.0,100.08,web-EPA.edges,webgraph,gis,,7200,4000000,16,False,True,True,4271.0,8909.0,102.43,0.63,1:44,80304,0,,8438,False
19,config-0,6203.0,25392.0,3031.0,141.0,8.51,web-edu.mtx,webgraph,gis,,7200,4000000,1,False,True,True,3031.0,6474.0,9.36,0.3,0:09,105628,0,,2834,False
69,config-0,12153.0,35181.0,3031.0,6091.0,8.50,web-edu.mtx,webgraph,gis,,7200,4000000,2,False,True,True,3031.0,6474.0,13.04,0.32,0:13,101592,0,,5578,False
119,config-0,13176.0,39231.0,3031.0,7114.0,10.25,web-edu.mtx,webgraph,gis,,7200,4000000,3,False,True,True,3031.0,6474.0,14.86,0.33,0:15,101792,0,,5862,False
169,config-0,14314.0,43271.0,3031.0,8252.0,12.19,web-edu.mtx,webgraph,gis,,7200,4000000,4,False,True,True,3031.0,6474.0,16.83,0.32,0:17,102716,0,,5924,False
219,config-0,18758.0,49330.0,3031.0,12696.0,15.05,web-edu.mtx,webgraph,gis,,7200,4000000,6,False,True,True,3031.0,6474.0,18.83,3.09,0:23,93944,0,,5938,False
269,config-0,20908.0,54898.0,3031.0,14846.0,21.01,web-edu.mtx,webgraph,gis,,7200,4000000,8,False,True,True,3031.0,6474.0,24.84,0.59,0:25,96256,0,,5948,False
319,config-0,23354.0,60263.0,3031.0,17292.0,24.29,web-edu.mtx,webgraph,gis,,7200,4000000,10,False,True,True,3031.0,6474.0,28.26,0.65,0:29,97220,0,,5950,False
369,config-0,25593.0,64207.0,3031.0,19531.0,28.72,web-edu.mtx,webgraph,gis,,7200,4000000,12,False,True,True,3031.0,6474.0,32.51,0.71,0:33,97260,0,,5958,False
419,config-0,30431.0,71810.0,3031.0,24369.0,31.32,web-edu.mtx,webgraph,gis,,7200,4000000,16,False,True,True,3031.0,6474.0,35.38,0.71,0:36,97080,0,,5972,False
20,config-0,23000.0,141192.0,11358.0,284.0,217.15,web-indochina-2004.mtx,webgraph,gis,,7200,4000000,1,False,True,True,11358.0,47606.0,222.36,1.19,3:45,130928,0,,15170,False
70,config-0,56784.0,186062.0,11358.0,34068.0,247.04,web-indochina-2004.mtx,webgraph,gis,,7200,4000000,2,False,True,True,11358.0,47606.0,252.62,1.42,4:15,141140,0,,20008,False
120,config-0,68136.0,208765.0,11358.0,45420.0,278.89,web-indochina-2004.mtx,webgraph,gis,,7200,4000000,3,False,True,True,11358.0,47606.0,284.71,1.54,4:48,144156,0,,22062,False
170,config-0,79486.0,231464.0,11358.0,56770.0,297.63,web-indochina-2004.mtx,webgraph,gis,,7200,4000000,4,False,True,True,11358.0,47606.0,303.61,1.6,5:07,149340,0,,22462,False
220,config-0,102180.0,276850.0,11358.0,79464.0,361.03,web-indochina-2004.mtx,webgraph,gis,,7200,4000000,6,False,True,True,11358.0,47606.0,367.4,1.65,6:11,159032,0,,22502,False
270,config-0,124866.0,322220.0,11358.0,102150.0,408.14,web-indochina-2004.mtx,webgraph,gis,,7200,4000000,8,False,True,True,11358.0,47606.0,414.91,1.66,6:59,174392,0,,22520,False
320,config-0,147544.0,367574.0,11358.0,124828.0,503.99,web-indochina-2004.mtx,webgraph,gis,,7200,4000000,10,False,True,True,11358.0,47606.0,510.98,4.19,8:39,184176,0,,22536,False
370,config-0,170214.0,412912.0,11358.0,147498.0,544.37,web-indochina-2004.mtx,webgraph,gis,,7200,4000000,12,False,True,True,11358.0,47606.0,551.92,1.8,9:17,201812,0,,22560,False
420,config-0,215530.0,503540.0,11358.0,192814.0,686.67,web-indochina-2004.mtx,webgraph,gis,,7200,4000000,16,False,True,True,11358.0,47606.0,694.98,2.02,11:41,239132,0,,22614,False
21,config-0,9707.0,94224.0,4767.0,173.0,75.74,web-spam.mtx,webgraph,gis,,7200,4000000,1,False,True,True,4767.0,37375.0,80.54,0.72,1:22,120552,0,,3532,False
71,config-0,19098.0,109711.0,4767.0,9564.0,585.68,web-spam.mtx,webgraph,gis,,7200,4000000,2,False,True,True,4767.0,37375.0,592.21,3.84,10:01,171944,0,,6006,False
121,config-0,20697.0,116073.0,4767.0,11163.0,1045.85,web-spam.mtx,webgraph,gis,,7200,4000000,3,False,True,True,4767.0,37375.0,1052.78,1.55,17:41,148524,0,,7516,False
171,config-0,22548.0,122434.0,4767.0,13014.0,1030.27,web-spam.mtx,webgraph,gis,,7200,4000000,4,False,True,True,4767.0,37375.0,1037.32,1.63,17:25,145200,0,,8520,False
221,config-0,29295.0,132051.0,4767.0,19761.0,925.78,web-spam.mtx,webgraph,gis,,7200,4000000,6,False,True,True,4767.0,37375.0,932.52,1.59,15:39,153932,0,,9246,False
271,config-0,32710.0,140770.0,4767.0,23176.0,671.76,web-spam.mtx,webgraph,gis,,7200,4000000,8,False,True,True,4767.0,37375.0,678.56,1.17,11:24,133480,0,,9394,False
321,config-0,36546.0,149233.0,4767.0,27012.0,443.33,web-spam.mtx,webgraph,gis,,7200,4000000,10,False,True,True,4767.0,37375.0,449.94,1.14,17:53,148968,0,,9472,False
371,config-0,39676.0,155490.0,4767.0,30142.0,338.67,web-spam.mtx,webgraph,gis,,7200,4000000,12,False,True,True,4767.0,37375.0,345.61,0.86,5:48,146676,0,,9508,False
421,config-0,47487.0,167416.0,4767.0,37953.0,254.58,web-spam.mtx,webgraph,gis,,7200,4000000,16,False,True,True,4767.0,37375.0,261.33,0.83,4:23,146760,0,,9524,False
18,config-0,32452.0,116070.0,16062.0,328.0,444.21,web-webbase-2001.mtx,webgraph,gis,,7200,4000000,1,False,True,True,16062.0,25593.0,447.69,1.96,7:32,119640,0,,26448,False
68,config-0,80304.0,179668.0,16062.0,48180.0,456.63,web-webbase-2001.mtx,webgraph,gis,,7200,4000000,2,False,True,True,16062.0,25593.0,460.77,2.04,7:46,134844,0,,29838,False
118,config-0,96360.0,211779.0,16062.0,64236.0,520.82,web-webbase-2001.mtx,webgraph,gis,,7200,4000000,3,False,True,True,16062.0,25593.0,525.18,2.14,8:50,139380,0,,30592,False
168,config-0,112414.0,243886.0,16062.0,80290.0,583.77,web-webbase-2001.mtx,webgraph,gis,,7200,4000000,4,False,True,True,16062.0,25593.0,588.38,2.12,9:54,149548,0,,30974,False
218,config-0,144516.0,308088.0,16062.0,112392.0,691.60,web-webbase-2001.mtx,webgraph,gis,,7200,4000000,6,False,True,True,16062.0,25593.0,696.74,2.19,11:43,174164,0,,31306,False
268,config-0,176610.0,372274.0,16062.0,144486.0,793.46,web-webbase-2001.mtx,webgraph,gis,,7200,4000000,8,False,True,True,16062.0,25593.0,799.3,2.21,13:30,192932,0,,31498,False
318,config-0,208696.0,436444.0,16062.0,176572.0,863.53,web-webbase-2001.mtx,webgraph,gis,,7200,4000000,10,False,True,True,16062.0,25593.0,869.76,2.41,24:25,224220,0,,31598,False
368,config-0,240774.0,500598.0,16062.0,208650.0,841.25,web-webbase-2001.mtx,webgraph,gis,,7200,4000000,12,False,True,True,16062.0,25593.0,847.8,4.87,14:18,239676,0,,31688,False
418,config-0,304906.0,628858.0,16062.0,272782.0,999.89,web-webbase-2001.mtx,webgraph,gis,,7200,4000000,16,False,True,True,16062.0,25593.0,1007.5,2.33,16:55,277072,0,,31792,False
